Operation;Processes;DataSize;CustomTime;MPITime;Speedup
Broadcast;16;1;7.893948e-05;2.292649e-05;3.4432
Broadcast;16;10;7.015650e-06;1.434540e-06;4.8905
Broadcast;16;100;2.864099e-05;4.987560e-06;5.7425
Broadcast;16;1000;3.268900e-05;4.774042e-05;0.6847
Broadcast;16;10000;2.109136e-04;4.585630e-05;4.5994
Broadcast;16;100000;1.897262e-03;5.239682e-04;3.6209
Reduce;16;1;4.479605e-05;2.191080e-06;20.4447
Reduce;16;10;2.597189e-05;2.216920e-06;11.7153
Reduce;16;100;4.977351e-05;5.819140e-06;8.5534
Reduce;16;1000;3.498432e-05;8.411467e-05;0.4159
Reduce;16;10000;2.824120e-04;3.138091e-04;0.8999
Reduce;16;100000;2.859563e-03;1.012276e-03;2.8249
Scatter;16;1;5.120750e-06;1.493680e-06;3.4283
Scatter;16;10;7.226070e-06;5.407820e-06;1.3362
Scatter;16;100;1.534679e-05;8.953560e-06;1.7140
Scatter;16;1000;2.535165e-05;1.764626e-05;1.4367
Scatter;16;10000;1.823438e-04;1.558907e-04;1.1697
Scatter;16;100000;1.565667e-03;1.452793e-03;1.0777
Gather;16;1;2.563088e-05;1.962440e-06;13.0607
Gather;16;10;2.575162e-05;3.109370e-06;8.2819
Gather;16;100;1.251009e-05;6.104390e-06;2.0494
Gather;16;1000;2.166228e-05;2.578907e-05;0.8400
Gather;16;10000;1.958751e-04;2.220848e-04;0.8820
Gather;16;100000;2.101813e-03;2.080798e-03;1.0101
Allgather;16;1;2.295612e-05;4.440070e-06;5.1702
Allgather;16;10;2.298233e-05;1.176803e-05;1.9529
Allgather;16;100;6.924756e-05;1.604626e-05;4.3155
Allgather;16;1000;1.237281e-04;9.015869e-05;1.3723
Allgather;16;10000;1.352214e-03;1.221141e-03;1.1073
Allgather;16;100000;1.070534e-02;1.172731e-02;0.9129
Alltoall;16;1;1.545751e-05;2.935630e-05;0.5265
Alltoall;16;10;2.315284e-05;2.966452e-05;0.7805
Alltoall;16;100;3.792842e-05;2.143632e-05;1.7694
Alltoall;16;1000;1.262985e-04;1.150765e-04;1.0975
Alltoall;16;10000;1.825205e-03;1.790771e-03;1.0192
Alltoall;16;100000;1.468185e-02;1.290573e-02;1.1376